region,day_type,time_slice,hour,flow_pems,flow_sl,speed_pems,speed_sl,flow_abs_error,speed_abs_error,flow_pct_error,speed_pct_error
low,weekday,midday,13,1431.1014492753623,1837.0434782608695,66.03623188405797,64.16425120772946,405.94202898550725,1.871980676328505,28.365705952646188,2.8347781557482024
low,weekday,midday,14,1563.657004830918,1993.3671497584542,65.86328502415459,63.84541062801932,429.71014492753625,2.0178743961352694,27.48109998547935,3.06373178227481
low,weekday,off_peak,0,83.11111111111111,102.03381642512078,67.0135265700483,65.09178743961353,18.92270531400966,1.9217391304347728,22.76796093931644,2.867688403812036
low,weekday,off_peak,1,62.81642512077295,78.33333333333333,66.90579710144928,64.83091787439614,15.51690821256038,2.0748792270531453,24.70199184803506,3.1011949889887798
low,weekday,off_peak,2,56.59903381642512,66.17874396135265,66.74492753623188,64.29468599033817,9.579710144927532,2.450241545893718,16.925571867531573,3.671052822049475
low,weekday,off_peak,3,79.22705314009661,85.2512077294686,66.8536231884058,64.78260869565217,6.024154589371989,2.0710144927536334,7.603658536585376,3.0978343341498986
low,weekday,off_peak,4,163.7487922705314,163.93236714975845,67.02753623188406,65.79710144927536,0.18357487922705218,1.2304347826086968,0.11210762331838506,1.8357153668187438
low,weekday,off_peak,5,447.5507246376812,351.8309178743961,67.65169082125604,67.27053140096618,95.71980676328508,0.38115942028986183,21.387476657707555,0.5634144773955926
low,weekday,off_peak,19,678.9343434343434,961.020202020202,67.6010101010101,64.72727272727273,282.08585858585855,2.87373737373737,41.54832662595124,4.251027269331336
low,weekday,off_peak,20,534.6868686868687,739.9343434343434,67.53585858585859,64.98989898989899,205.2474747474747,2.5459595959596015,38.38648127857331,3.7697893375012232
low,weekday,off_peak,21,398.42424242424244,528.6616161616162,67.47979797979798,65.1969696969697,130.23737373737373,2.2828282828282767,32.688114795659665,3.382980315844613
low,weekday,off_peak,22,253.12121212121212,315.9040404040404,67.34848484848484,65.56060606060606,62.78282828282829,1.7878787878787818,24.803463825372123,2.6546681664791816
low,weekday,off_peak,23,151.18686868686868,189.57070707070707,67.18939393939394,65.44949494949495,38.383838383838395,1.7398989898989896,25.388341406380498,2.589544104934791
low,weekday,pm_peak,15,1780.9710144927535,2197.5893719806763,65.46714975845411,62.77777777777778,416.6183574879228,2.6893719806763343,23.392764626581066,4.107971693588267
low,weekday,pm_peak,16,1683.969696969697,2056.070707070707,65.91262626262626,63.32828282828283,372.10101010101016,2.584343434343431,22.096657129318054,3.9208624824721996
low,weekday,pm_peak,17,1519.0151515151515,1857.590909090909,66.21414141414141,63.06565656565657,338.5757575757575,3.1484848484848413,22.289162635280032,4.755003661215513
low,weekday,pm_peak,18,986.6717171717172,1335.8989898989898,67.13434343434344,63.75757575757576,349.22727272727263,3.3767676767676775,35.39447484400672,5.029866241367379
low,weekend,am_peak,6,301.9861111111111,256.2916666666667,67.38055555555555,67.08333333333333,45.6944444444444,0.29722222222221717,15.131306627420305,0.4411097827431183
low,weekend,am_peak,7,458.4861111111111,445.0138888888889,67.43333333333334,67.93055555555556,13.472222222222172,0.49722222222222,2.9384144679046273,0.7373537650354226
low,weekend,am_peak,8,683.5833333333334,721.5138888888889,67.59166666666667,68.09722222222223,37.93055555555554,0.50555555555556,5.548782965581696,0.7479554514445468
low,weekend,am_peak,9,994.7361111111111,1105.9444444444443,67.53055555555555,66.81944444444444,111.20833333333326,0.7111111111111086,11.179681936862087,1.053021266093534
low,weekend,midday,10,1237.2916666666667,1482.6527777777778,67.26805555555556,66.40277777777777,245.3611111111111,0.8652777777777914,19.83049896166582,1.2863130510189533
low,weekend,midday,11,1439.0555555555557,1787.9166666666667,66.88611111111112,65.77777777777777,348.8611111111111,1.1083333333333485,24.242365749141022,1.6570455583703867
low,weekend,midday,12,1556.1527777777778,1920.875,66.25972222222222,65.54166666666667,364.7222222222222,0.7180555555555515,23.437430272306166,1.0836984090384998
low,weekend,midday,13,1577.3472222222222,1946.8472222222222,66.49027777777778,65.94444444444444,369.5,0.5458333333333343,23.425406581021228,0.8209220228521311
low,weekend,midday,14,1531.9166666666667,1902.3333333333333,66.57638888888889,66.18055555555556,370.4166666666665,0.3958333333333286,24.179948865799915,0.594555126734112
low,weekend,off_peak,0,113.95833333333333,112.625,67.17222222222222,65.02777777777777,1.3333333333333286,2.1444444444444457,1.1700182815356448,3.19245719956993
low,weekend,off_peak,1,72.15277777777777,76.5,67.23472222222222,64.48611111111111,4.3472222222222285,2.748611111111103,6.0250240615976995,4.088082794521668
low,weekend,off_peak,2,53.65277777777778,57.611111111111114,66.97083333333333,64.55555555555556,3.9583333333333357,2.4152777777777743,7.377685736474247,3.6064621829569203
low,weekend,off_peak,3,61.68055555555556,49.84722222222222,66.88611111111112,64.52777777777777,11.833333333333336,2.3583333333333485,19.18486827291151,3.5258939324723007
low,weekend,off_peak,4,82.34722222222223,78.45833333333333,66.82361111111112,66.70833333333333,3.8888888888889,0.11527777777779136,4.722550177095645,0.17251054808473754
low,weekend,off_peak,5,176.51388888888889,147.90277777777777,67.20972222222223,67.05555555555556,28.611111111111114,0.15416666666666856,16.208985758124168,0.22938149655928036
low,weekend,off_peak,19,752.125,988.2638888888889,67.73611111111111,65.19444444444444,236.1388888888889,2.5416666666666714,31.396229202444925,3.752306745950386
low,weekend,off_peak,20,592.9583333333334,702.7638888888889,67.54722222222222,64.81944444444444,109.80555555555554,2.7277777777777743,18.518258262478625,4.038327096270095
low,weekend,off_peak,21,425.56944444444446,470.7916666666667,67.58333333333333,65.52777777777777,45.22222222222223,2.055555555555557,10.626285042916354,3.041512535963833
low,weekend,off_peak,22,287.2638888888889,307.625,67.51111111111112,65.65277777777777,20.361111111111086,1.8583333333333485,7.087946622830334,2.752633311389094
low,weekend,off_peak,23,190.18055555555554,185.70833333333334,67.42777777777778,65.95833333333333,4.4722222222222,1.4694444444444485,2.351566493828952,2.1792864793606386
low,weekend,pm_peak,15,1476.4166666666667,1859.4166666666667,66.66805555555555,66.16666666666667,383.0,0.5013888888888829,25.941186431111362,0.7520676652569648
low,weekend,pm_peak,16,1388.6944444444443,1750.111111111111,66.94583333333334,66.01388888888889,361.41666666666674,0.9319444444444542,26.02564359010262,1.3920873010933528
low,weekend,pm_peak,17,1246.125,1554.9444444444443,66.8763888888889,64.51388888888889,308.81944444444434,2.3625000000000114,24.78238093645857,3.532636913044398
low,weekend,pm_peak,18,954.9861111111111,1268.111111111111,67.47083333333333,64.47222222222223,313.125,2.998611111111103,32.788434968513215,4.4443072109347534
rural,weekday,am_peak,6,3414.3608695652174,3016.2869565217393,58.27913043478261,69.35217391304347,398.0739130434781,11.073043478260864,11.6588119490184,19.00001492069649
rural,weekday,am_peak,7,3491.2391304347825,3590.6782608695653,57.767391304347825,69.16956521739131,99.43913043478278,11.402173913043484,2.84824747660293,19.738080006021157
rural,weekday,am_peak,8,3260.5565217391304,3424.791304347826,58.356086956521736,69.89565217391305,164.2347826086957,11.539565217391313,5.037016886954483,19.774398557581282
rural,weekday,am_peak,9,3421.2347826086957,3404.8739130434783,56.708260869565216,69.3391304347826,16.3608695652174,12.630869565217388,0.4782153405076227,22.27342078832161
rural,weekday,midday,10,3493.0478260869563,3649.278260869565,56.77434782608696,68.82608695652173,156.23043478260888,12.051739130434775,4.472610813280049,21.227437376034786
rural,weekday,midday,11,3418.269565217391,3860.2391304347825,57.302608695652175,68.47391304347826,441.9695652173914,11.171304347826087,12.929628772249375,19.495280585146745
rural,weekday,midday,12,3474.0652173913045,4022.973913043478,58.76086956521739,68.08260869565217,548.9086956521737,9.321739130434779,15.800183971916118,15.863854975952638
rural,weekday,midday,13,3541.704347826087,4170.121739130434,58.52,67.01304347826087,628.4173913043473,8.493043478260866,17.743361093651778,14.513061309399975
rural,weekday,midday,14,3560.3608695652174,4330.856521739131,59.10304347826087,65.75217391304348,770.4956521739132,6.649130434782606,21.640942601079768,11.250064368052842
rural,weekday,off_peak,0,756.7695652173913,573.2173913043479,65.23782608695653,71.00434782608696,183.55217391304348,5.766521739130425,24.25469817358681,8.839230374482646
rural,weekday,off_peak,1,645.2565217391304,409.7304347826087,64.38173913043478,69.37391304347825,235.52608695652174,4.992173913043473,36.50115559029439,7.754021529194064
rural,weekday,off_peak,2,690.4434782608696,374.0826086956522,64.03478260869565,68.71304347826087,316.3608695652174,4.6782608695652215,45.819951889774686,7.305812058663776
rural,weekday,off_peak,3,949.5173913043478,491.0130434782609,64.8804347826087,69.8913043478261,458.5043478260869,5.010869565217391,48.288146380999045,7.723236723069189
rural,weekday,off_peak,4,1813.904347826087,1036.8695652173913,64.44043478260869,71.64347826086957,777.0347826086957,7.203043478260881,42.83769337341023,11.177831904084005
rural,weekday,off_peak,5,2983.8608695652174,2034.791304347826,65.37086956521739,71.56521739130434,949.0695652173913,6.194347826086954,31.806763341337746,9.475700518114035
