region,day_type,time_slice,feature,mae,mape_pct,mean_pems,mean_sl
high,weekday,pm_peak,speed_diff1,4.021041879468846,149.11363636363637,0.2639427987742594,-1.3197139938712972
high,weekday,pm_peak,hour_sin,0.0,0.0,-0.8827683486394127,-0.8827683486394127
high,weekday,pm_peak,hour_cos,0.0,0.0,-0.37030870741063004,-0.37030870741063004
high,weekday,pm_peak,dow_sin,0.0,0.0,0.37426419303907443,0.37426419303907443
high,weekday,pm_peak,dow_cos,0.0,0.0,-0.1327014602446748,-0.1327014602446748
high,weekend,am_peak,flow,1158.84375,39.380835978590795,2942.659090909091,3414.150568181818
high,weekend,am_peak,speed,2.775568181818182,4.201210911968077,66.06590909090909,66.9971590909091
high,weekend,am_peak,density_proxy,18.235060928115647,40.775297627132666,44.720853039173626,51.8440675789899
high,weekend,am_peak,flow_diff1,386.64772727272725,56.45428903268625,684.8863636363636,930.7159090909091
high,weekend,am_peak,speed_diff1,1.469886363636364,165.62099871959003,-0.8375000000000007,-1.1477272727272727
high,weekend,am_peak,hour_sin,0.0,0.0,0.8847645028150136,0.8847645028150136
high,weekend,am_peak,hour_cos,0.0,0.0,-0.366481456572267,-0.366481456572267
high,weekend,am_peak,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
high,weekend,am_peak,dow_cos,0.0,0.0,0.20048443395120935,0.20048443395120935
high,weekend,midday,flow,1884.8363636363636,41.211629705162686,4573.554545454545,6076.463636363636
high,weekend,midday,speed,6.91409090909091,11.46425287529582,60.31,59.95454545454545
high,weekend,midday,density_proxy,44.450632069616404,55.55248084509844,80.01556616987415,105.02506333859016
high,weekend,midday,flow_diff1,410.27272727272725,265.0963345864662,128.4,263.58181818181816
high,weekend,midday,speed_diff1,2.4977272727272735,219.44888178913743,-1.1127272727272726,-1.1227272727272728
high,weekend,midday,hour_sin,0.0,0.0,1.1266240465798465e-16,1.1266240465798465e-16
high,weekend,midday,hour_cos,0.0,0.0,-0.9327804920294028,-0.9327804920294028
high,weekend,midday,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
high,weekend,midday,dow_cos,0.0,0.0,0.2004844339512094,0.2004844339512094
high,weekend,off_peak,flow,1095.9597107438017,50.550394629757044,2168.0537190082646,2544.180785123967
high,weekend,off_peak,speed,2.9857438016528923,4.453532377559448,67.04214876033058,66.02685950413223
