region,feature_group,time_slice,day_type,n_pairs,energy,wasserstein,mmd,flow_error_abs,flow_error_pct,speed_error_abs,speed_error_pct,mean_flow_pems,mean_flow_sl,mean_speed_pems,mean_speed_sl
low,speed,pm_peak,weekday,801,0.5224801041663074,0.6111616316345916,0.12086805808944334,872.1335830212234,58.30173767101508,3.684644194756554,5.5681119282186335,1495.896379525593,1865.5605493133583,66.17403245942572,63.227215980024965
low,speed,pm_peak,weekend,288,0.4511877488458289,0.5744379718248771,0.09996398285847596,615.4861111111111,48.59527151504518,3.022916666666667,4.512470715070596,1266.5555555555557,1608.1458333333333,66.99027777777776,65.29166666666667
rural,speed,am_peak,weekday,920,2.028902340233568,1.1015970085394988,0.6410314321041457,486.55326086956524,14.323669642571438,11.663804347826087,20.187374777774643,3396.8478260869565,3359.157608695652,57.77771739130435,69.43913043478261
rural,speed,am_peak,weekend,320,1.4664778109934267,0.9433947253151069,0.46997020342934276,400.190625,16.56047578343526,6.949375000000001,10.510842644584352,2416.540625,2506.3875,66.11625,73.065625
rural,speed,midday,weekday,1150,1.4300035502190305,0.8023779943638196,0.574926980399613,645.62,18.45952612470112,10.203826086956523,17.564889381193307,3497.4895652173914,4006.6939130434785,58.09217391304348,67.6295652173913
rural,speed,midday,weekend,400,0.6244712774248995,0.6282625991497562,0.17448760668979546,494.38,11.79555453755929,12.411,23.517485101424008,4191.24,4398.155,52.773500000000006,64.93
rural,speed,off_peak,weekday,2480,1.0338967423039231,0.7884935621534642,0.32937985793008506,574.7608870967742,39.19473285211362,5.537701612903226,8.499278704676136,1466.4237903225805,1392.516129032258,65.15495967741936,70.5733870967742
rural,speed,off_peak,weekend,880,1.0190601005998903,0.732238494859354,0.37408936207629095,377.2227272727273,23.67618665869748,6.034204545454545,9.241015413584211,1593.2579545454546,1386.771590909091,65.29806818181818,71.32272727272728
rural,speed,pm_peak,weekday,890,0.6561092527685013,0.577491634697115,0.2660035536804558,637.9820224719101,17.96656495810415,6.145730337078652,9.943625459258895,3550.9404494382024,4084.1539325842696,61.80573033707865,66.74157303370787
rural,speed,pm_peak,weekend,320,0.6609078120054903,0.6576869002787608,0.19037745767154324,492.040625,12.397180945002287,12.4221875,23.50808716993406,3968.971875,4257.2,52.8421875,64.878125
urban,speed,am_peak,weekday,1012,0.04955509725358409,0.16628329146456156,0.015275397516332223,2331.26185770751,66.10114167814471,11.737351778656127,20.48092640232842,3526.810276679842,4205.744071146245,57.30869565217392,57.69268774703557
urban,speed,am_peak,weekend,352,0.08827468823571749,0.279747124716478,0.043825941237051524,924.2443181818181,49.197021570026976,4.96875,7.529186899473086,1878.659090909091,1998.215909090909,65.99318181818181,66.54261363636364
urban,speed,midday,weekday,1265,0.17764156785559382,0.25440137556098075,0.07288268869320214,1864.0632411067193,49.190262329013024,6.875652173913044,11.086128859980857,3789.496442687747,4572.958893280633,62.0203162055336,61.66798418972332
urban,speed,midday,weekend,440,0.2422915253849962,0.3835712223201509,0.11624358463302686,1377.0659090909091,40.435824847875736,5.365681818181819,8.379801020100306,3405.559090909091,3968.4113636363636,64.03113636363636,64.95681818181818
urban,speed,off_peak,weekday,2728,0.12025823279149428,0.31554742898350485,0.03213214997454805,913.6187683284458,71.49456465615168,5.163352898019076,7.749175411716064,1277.8856304985338,1592.8511730205278,66.58214809384164,64.56456346294938
urban,speed,off_peak,weekend,968,0.1118867580105487,0.2889249078806997,0.04190968051185928,641.9803719008264,55.41652212917327,5.026652892561983,7.56392917657666,1158.4638429752067,1408.6363636363637,66.4555785123967,65.0909090909091
urban,speed,pm_peak,weekday,979,0.07147901961922631,0.14715307893476737,0.023111952565198157,2007.4187946884576,50.91755931037055,14.473544433094993,27.22295015196868,3942.488253319714,4698.807967313585,53.16670071501532,52.84984678243105
urban,speed,pm_peak,weekend,352,0.23433126848987618,0.3822455961280229,0.11030393018438889,1479.9204545454545,44.39092977477823,5.2653409090909085,8.312478135679878,3333.8352272727275,3986.9375,63.34261363636363,64.01136363636364
high,temporal,am_peak,weekday,1012,0.0,0.0,0.0,1974.9357707509882,45.129045449116006,11.144664031620556,19.061590516527463,4376.196640316206,5967.373517786561,58.46660079051383,52.16403162055336
high,temporal,am_peak,weekend,352,0.0,0.0,0.0,1158.84375,39.380835978590795,2.775568181818182,4.201210911968077,2942.659090909091,3414.150568181818,66.06590909090909,66.9971590909091
high,temporal,midday,weekday,1265,0.0,0.0,0.0,2458.018972332016,55.73978965332416,7.230197628458499,12.433693403190333,4409.810276679842,6572.294071146245,58.15003952569169,57.21106719367589
high,temporal,midday,weekend,440,0.0,0.0,0.0,1884.8363636363636,41.211629705162686,6.91409090909091,11.46425287529582,4573.554545454545,6076.463636363636,60.31,59.95454545454545
high,temporal,off_peak,weekday,2728,0.0,0.0,0.0,1201.5318914956013,56.25627197605154,2.8377932551319653,4.221518045128772,2135.8185483870966,2705.659090909091,67.22210410557184,66.15395894428153
high,temporal,off_peak,weekend,968,0.0,0.0,0.0,1095.9597107438017,50.550394629757044,2.9857438016528923,4.453532377559448,2168.0537190082646,2544.180785123967,67.04214876033058,66.02685950413223
high,temporal,pm_peak,weekday,979,0.0,0.0,0.0,2253.9581205311542,49.75387151804634,10.727374872318691,18.97257836366231,4530.216547497446,6367.545454545455,56.5414708886619,51.550561797752806
high,temporal,pm_peak,weekend,352,0.0,0.0,0.0,2067.431818181818,46.25832697686245,7.036363636363635,11.451609920289988,4469.318181818182,5971.9375,61.44431818181818,58.20738636363637
low,temporal,am_peak,weekday,828,0.0,0.0,0.0,679.6690821256038,52.852398787364244,2.591545893719807,3.874320215508837,1285.975845410628,1185.193236714976,66.8903381642512,64.95531400966183
low,temporal,am_peak,weekend,288,0.0,0.0,0.0,289.2638888888889,47.44380470747695,1.6291666666666664,2.4141514967533464,609.6979166666666,632.1909722222222,67.48402777777778,67.48263888888889
low,temporal,midday,weekday,1035,0.0,0.0,0.0,778.2,56.81185446845549,3.0716908212560385,4.647477597321911,1369.784541062802,1733.584541062802,66.09371980676329,64.06280193236715
low,temporal,midday,weekend,360,0.0,0.0,0.0,714.1722222222222,48.63764573681393,2.3877777777777776,3.5800854622541705,1468.3527777777779,1808.125,66.69611111111112,65.96944444444445
low,temporal,off_peak,weekday,2232,0.0,0.0,0.0,137.9144265232975,52.70073617531244,2.4615591397849466,3.662521648354726,261.69354838709677,321.2334229390681,67.20940860215053,65.27374551971326
